title,line_text
The Raven,"Once upon a midnight dreary, while I pondered, weak and weary,"
The Raven,Over many a quaint and curious volume of forgotten lore—
The Raven,"While I nodded, nearly napping, suddenly there came a tapping,"
The Raven,As of some one gently rapping—rapping at my chamber door.
The Raven,"""'Tis some visitor,"" I muttered, ""tapping at my chamber door—"
The Raven,"Only this and nothing more."""
The Raven,"Ah, distinctly I remember, it was in the bleak December,"
The Raven,And each separate dying ember wrought its ghost upon the floor.
The Raven,Eagerly I wished the morrow;—vainly I had sought to borrow
The Raven,From my books surcease of sorrow—sorrow for the lost Lenore—
The Raven,For the rare and radiant maiden whom the angels name Lenore—
The Raven,Nameless here for evermore.
The Raven,And the silken sad uncertain rustling of each purple curtain
The Raven,Thrilled me—filled me with fantastic terrors never felt before;
The Raven,"So that now, to still the beating of my heart, I stood repeating"
The Raven,"""'Tis some visitor entreating entrance at my chamber door—"
The Raven,Some late visitor entreating entrance at my chamber door;—
The Raven,"This it is and nothing more."""
The Raven,"Presently my soul grew stronger; hesitating then no longer,"
The Raven,"""Sir,"" said I, ""or Madam, truly your forgiveness I implore;"
The Raven,"But the fact is I was napping, and so gently you came rapping,"
The Raven,"And so faintly you came tapping—tapping at my chamber door,"
The Raven,"That I scarce was sure I heard you""—here I opened wide the door:—"
The Raven,Darkness there and nothing more.
The Raven,"Deep into that darkness peering, long I stood there wondering, fearing,"
The Raven,"Doubting, dreaming dreams no mortal ever dared to dream before;"
The Raven,"But the silence was unbroken, and the darkness gave no token,"
The Raven,"And the only word there spoken was the whispered word, ""Lenore!"""
The Raven,"This I whispered, and an echo murmured back the word, ""Lenore!"""
The Raven,Merely this and nothing more.
The Raven,"Back into the chamber turning, all my soul within me burning,"
The Raven,"Soon I heard again a tapping, somewhat louder than before."
The Raven,"""Surely,"" said I, ""surely that is something at my window lattice;"
The Raven,"Let me see, then, what thereat is, and this mystery explore—"
The Raven,"Let my heart be still a moment, and this mystery explore;—"
The Raven,"'Tis the wind and nothing more."""
The Raven,"Open here I flung the shutter, when, with many a flirt and flutter,"
The Raven,In there stepped a stately Raven of the saintly days of yore;
The Raven,Not the least obeisance made he: not an instant stopped or stayed he;
The Raven,"But, with mien of lord or lady, perched above my chamber door-"
The Raven,Perched upon a bust of Pallas just above my chamber door—
The Raven,"Perched, and sat, and nothing more."
The Raven,"Then this ebony bird beguiling my sad fancy into smiling,"
The Raven,"By the grave and stern decorum of the countenance it wore,"
The Raven,"""Though thy crest be shorn and shaven, thou,"" I said, ""art sure no craven,"
The Raven,Ghastly grim and ancient Raven wandering from the Nightly shore—
The Raven,"Tell me what thy lordly name is on the Night's Plutonian shore!"""
The Raven,"Quoth the Raven, ""Nevermore."""
The Raven,"Much I marvelled this ungainly fowl to hear discourse so plainly,"
The Raven,Though its answer little meaning—little relevancy bore;
The Raven,For we cannot help agreeing that no living human being
The Raven,Ever yet was blessed with seeing bird above his chamber door—
The Raven,"Bird or beast upon the sculptured bust above his chamber door,"
The Raven,"With such name as ""Nevermore."""
The Raven,"But the Raven, sitting lonely on that placid bust, spoke only"
The Raven,"That one word, as if his soul in that one word he did outpour."
The Raven,Nothing further then he uttered—not a feather then he fluttered—
The Raven,"Till I scarcely more than muttered, ""Other friends have flown before—"
The Raven,"On the morrow he will leave me, as my hopes have flown before."""
The Raven,"Then the bird said, ""Nevermore."""
The Raven,"Startled at the stillness broken by reply so aptly spoken,"
The Raven,"""Doubtless,"" said I, ""what it utters is its only stock and store,"
The Raven,Caught from some unhappy master whom unmerciful Disaster
The Raven,Followed fast and followed faster till his songs one burden bore—
The Raven,Till the dirges of his Hope the melancholy burden bore
The Raven,"Of 'Never—nevermore.'"""
The Raven,"But the Raven still beguiling all my sad soul into smiling,"
The Raven,Straight I wheeled a cushioned seat in front of bird and bust and door;
The Raven,"Then, upon the velvet sinking, I betook myself to linking"
The Raven,"Fancy unto fancy, thinking what this ominous bird of yore—"
The Raven,"What this grim, ungainly, ghastly, gaunt, and ominous bird of yore"
The Raven,"Meant in croaking ""Nevermore."""
The Raven,"This I sat engaged in guessing, but no syllable expressing"
The Raven,To the fowl whose fiery eyes now burned into my bosom's core;
The Raven,"This and more I sat divining, with my head at ease reclining"
The Raven,"On the cushion's velvet lining that the lamp-light gloated o'er,"
The Raven,"But whose velvet violet lining with the lamp-light gloating o'er, She shall press, ah, nevermore!"
The Raven,"Then, methought, the air grew denser, perfumed from an unseen censer"
The Raven,Swung by Seraphim whose foot-falls tinkled on the tufted floor.
The Raven,"""Wretch,"" I cried, ""thy God hath lent thee—by these angels he hath sent thee"
The Raven,Respite—respite and nepenthé from thy memories of Lenore!
The Raven,"Quaff, oh quaff this kind nepenthé, and forget this lost Lenore!"""
The Raven,"Quoth the Raven, ""Nevermore."""
The Raven,"""Prophet!"" said I, ""thing of evil!—prophet still, if bird or devil!—"
The Raven,"Whether Tempter sent, or whether tempest tossed thee here ashore,"
The Raven,"Desolate yet all undaunted, on this desert land enchanted—"
The Raven,"On this home by Horror haunted—tell me truly, I implore—"
The Raven,"Is there— is there balm in Gilead?—tell me—tell me, I implore!"""
The Raven,"Quoth the Raven, ""Nevermore."""
The Raven,"""Prophet!"" said I, ""thing of evil!—prophet still, if bird or devil!"
The Raven,By that Heaven that bends above us — by that God we both adore—
The Raven,"Tell this soul with sorrow laden if, within the distant Aidenn,"
The Raven,It shall clasp a sainted maiden whom the angels name Lenore —
The Raven,"Clasp a rare and radiant maiden whom the angels name Lenore."""
The Raven,"Quoth the Raven, ""Nevermore."""
The Raven,"""Be that word our sign of parting, bird or fiend!"" I shrieked, upstarting—"
The Raven,"""Get thee back into the tempest and the Night's Plutonian shore!"
The Raven,Leave no black plume as a token of that lie thy soul hath spoken!
The Raven,Leave my loneliness unbroken!—quit the bust above my door!
The Raven,"Take thy beak from out my heart, and take thy form from off my door!"""
The Raven,"Quoth the Raven, ""Nevermore."""
The Raven,"And the Raven, never flitting, still is sitting, still is sitting"
The Raven,On the pallid bust of Pallas just above my chamber door;
The Raven,"And his eyes have all the seeming of a demon's that is dreaming,"
The Raven,And the lamp-light o'er him streaming throws his shadow on the floor;
The Raven,And my soul from out that shadow that lies floating on the floor
The Raven,"Shall be lifted—nevermore! Published, 1845. Note Contents"
The Bells,I Hear the sledges with the bells—
The Bells,Silver bells!
The Bells,What a world of merriment their melody foretells!
The Bells,"How they tinkle, tinkle, tinkle,"
The Bells,In their icy air of night!
The Bells,"While the stars, that oversprinkle"
The Bells,"All the heavens, seem to twinkle"
The Bells,With a crystalline delight;
The Bells,"Keeping time, time, time,"
The Bells,"In a sort of Runic rhyme,"
The Bells,To the tintinnabulation that so musically wells
The Bells,"From the bells, bells, bells, bells,"
The Bells,"Bells, bells, bells—"
The Bells,From the jingling and the tinkling of the bells.
The Bells,"Hear the mellow wedding bells,"
The Bells,Golden bells!
The Bells,What a world of happiness their harmony foretells!
The Bells,Through the balmy air of night
The Bells,How they ring out their delight!
The Bells,"From the molten golden-notes,"
The Bells,"And all in tune,"
The Bells,What a liquid ditty floats
The Bells,"To the turtle-dove that listens, while she gloats"
The Bells,On the moon!
The Bells,"Oh, from out the sounding cells,"
The Bells,What a gush of euphony voluminously wells!
The Bells,How it swells!
The Bells,How it dwells
The Bells,On the future! how it tells
The Bells,Of the rapture that impels
The Bells,To the swinging and the ringing
The Bells,"Of the bells, bells, bells,"
The Bells,"Of the bells, bells, bells, bells,"
The Bells,"Bells, bells, bells—"
The Bells,To the rhyming and the chiming of the bells!
The Bells,Hear the loud alarum bells—
The Bells,Brazen bells!
The Bells,What a tale of terror now their turbulency tells!
The Bells,In the startled ear of night
The Bells,How they scream out their affright!
The Bells,"Too much horrified to speak,"
The Bells,"They can only shriek, shriek,"
The Bells,"Out of tune,"
The Bells,"In a clamorous appealing to the mercy of the fire,"
The Bells,In a mad expostulation with the deaf and frantic fire
The Bells,"Leaping higher, higher, higher,"
The Bells,"With a desperate desire,"
The Bells,And a resolute endeavor
The Bells,"Now—now to sit or never,"
The Bells,By the side of the pale-faced moon.
The Bells,"Oh, the bells, bells, bells!"
The Bells,What a tale their terror tells
The Bells,Of Despair!
The Bells,"How they clang, and clash, and roar!"
The Bells,What a horror they outpour
The Bells,On the bosom of the palpitating air!
The Bells,"Yet the ear it fully knows,"
The Bells,"By the twanging,"
The Bells,"And the clanging,"
The Bells,How the danger ebbs and flows;
The Bells,"Yet the ear distinctly tells,"
The Bells,"In the jangling,"
The Bells,"And the wrangling,"
The Bells,"How the danger sinks and swells,"
The Bells,By the sinking or the swelling in the anger of the bells—
The Bells,Of the bells—
The Bells,"Of the bells, bells, bells, bells,"
The Bells,"Bells, bells, bells—"
The Bells,In the clamor and the clangor of the bells!
The Bells,Hear the tolling of the bells —
The Bells,Iron bells!
The Bells,What a world of solemn thought their monody compels!
The Bells,"In the silence of the night,"
The Bells,How we shiver with affright
The Bells,At the melancholy menace of their tone!
The Bells,For every sound that floats
The Bells,From the rust within their throats
The Bells,Is a groan.
The Bells,"And the people—ah, the people—"
The Bells,They that dwell up in the steeple.
The Bells,"All alone,"
The Bells,"And who tolling, tolling, tolling,"
The Bells,"In that muffled monotone,"
The Bells,Feel a glory in so rolling
The Bells,On the human heart a stone—
The Bells,They are neither man nor woman—
The Bells,They are neither brute nor human —
The Bells,They are Ghouls:
The Bells,And their king it is who tolls;
The Bells,"And he rolls, rolls, rolls,"
The Bells,Rolls
The Bells,A pæan from the bells!
The Bells,And his merry bosom swells
The Bells,With the pæan of the bells!
The Bells,"And he dances, and he yells;"
The Bells,"Keeping time, time, time,"
The Bells,"In a sort of Runic rhyme,"
The Bells,To the pæan of the bells —
The Bells,Of the bells:
The Bells,"Keeping time, time, time,"
The Bells,"In a sort of Runic rhyme,"
The Bells,To the throbbing of the bells —
The Bells,"Of the bells, bells, bells —"
The Bells,To the sobbing of the bells;
The Bells,"Keeping time, time, time,"
The Bells,"As he knells, knells, knells,"
The Bells,"In a happy Runic rhyme,"
The Bells,To the rolling of the bells—
The Bells,"Of the bells, bells, bells-"
The Bells,"To the tolling of the bells,"
The Bells,"Of the bells, bells, bells, bells,"
The Bells,"Bells, bells, bells —"
The Bells,To the moaning and the groaning of the bells. 1849 Note Contents
Ulalume,The skies they were ashen and sober;
Ulalume,The leaves they were crisped and sere—
Ulalume,The leaves they were withering and sere;
Ulalume,It was night in the lonesome October
Ulalume,Of my most immemorial year;
Ulalume,"It was hard by the dim lake of Auber,"
Ulalume,In the misty mid region of Weir—
Ulalume,"It was down by the dank tarn of Auber,"
Ulalume,In the ghoul-haunted woodland of Weir.
Ulalume,"Here once, through an alley Titanic."
Ulalume,"Of cypress, I roamed with my Soul—"
Ulalume,"Of cypress, with Psyche, my Soul."
Ulalume,These were days when my heart was volcanic
Ulalume,As the scoriac rivers that roll—
Ulalume,As the lavas that restlessly roll
Ulalume,Their sulphurous currents down Yaanek
Ulalume,In the ultimate climes of the pole—
Ulalume,That groan as they roll down Mount Yaanek
Ulalume,In the realms of the boreal pole.
Ulalume,"Our talk had been serious and sober,"
Ulalume,But our thoughts they were palsied and sere—
Ulalume,Our memories were treacherous and sere—
Ulalume,"For we knew not the month was October,"
Ulalume,And we marked not the night of the year—
Ulalume,"(Ah, night of all nights in the year!)"
Ulalume,We noted not the dim lake of Auber—
Ulalume,(Though once we had journeyed down here)—
Ulalume,"Remembered not the dank tarn of Auber,"
Ulalume,Nor the ghoul-haunted woodland of Weir.
Ulalume,And now as the night was senescent
Ulalume,And star-dials pointed to morn—
Ulalume,As the sun-dials hinted of morn—
Ulalume,At the end of our path a liquescent
Ulalume,"And nebulous lustre was born,"
Ulalume,Out of which a miraculous crescent
Ulalume,Arose with a duplicate horn—
Ulalume,Astarte's bediamonded crescent
Ulalume,Distinct with its duplicate horn.
Ulalume,"And I said—""She is warmer than Dian:"
Ulalume,She rolls through an ether of sighs—
Ulalume,She revels in a region of sighs:
Ulalume,She has seen that the tears are not dry on
Ulalume,"These cheeks, where the worm never dies,"
Ulalume,And has come past the stars of the Lion
Ulalume,To point us the path to the skies—
Ulalume,To the Lethean peace of the skies—
Ulalume,"Come up, in despite of the Lion,"
Ulalume,To shine on us with her bright eyes—
Ulalume,"Come up through the lair of the Lion,"
